builder,tier,name,wpn_bonus_add,wpn_bonus_mult,wpn_period_mult,dps_bonus_add,dps_bonus_mult,sort_with_dps_bonus,life_bonus_add,life_bonus_mult,sort_with_life_bonus,notes
Ancient,1,Sentinel,0,1,1.0,0.0,1.15,True,0.0,1.0,True,Calls to Arms: +3% AS / sentinel | assume 5 sentinels (+15%)
Ancient,2,Encoder,0,1,1.0,40.0,1.0,True,0.0,1.0,True,Decode: +8 damage/hit on target | assume 5 hits per second (focus fire) => +40 DPS
Ancient,3,Magnetosphere Resonator,0,1,1.0,0.0,1.0,True,45.0,1.45,True,Forcefield: +45 shields +1% regen | Assume 30s and 3 allied units around same shields = 1.45x (0.01 * 30 * 3 = 0.90 shields with half of life as hp)
Ancient,4,Preserver,0,1,1.0,48.0,1.0,False,432.0,1.0,True,"Preservation: resurrect sentinel | Assume 3 sentinels resurrected (3 * 144 life, 3*16 DPS)"
Ancient,5,Warden,0,1,1.0,0.0,1.0,True,720.0,1.0,True,Restrain: freeze enemies for 2s every 7.5s | assume 8ea wave 9 (22.5 DPS) frozen twice (22.5 * 2 * 8 * 2 = 720 damage)
Ancient,6,Matriarch,0,1,1.0,0.0,1.0,True,0.0,2.05,True,Empower: +35% shields max +140% | assume 3 Matriarchs
Ancient,1u,Defender,15,1,1.0,0.0,1.0,False,0.0,1.0,True,Brotherhood: +5 damage per defender | assume 3 defenders
Ancient,2u,Encrypter,0,1,1.0,0.0,1.0,True,372.0,1.0,True,Matrix Shield: blocks 1 attack per shield with 3 starting shields | assume wave 22 attack (124 damage)
Ancient,3u,Prismatic Resonator,0,1,1.0,0.0,1.0,True,90.0,1.9,True,Antimatter Shielding: +90 shields +2% regen | Assume 30s and 3 allied units around same shields = +0.90x (0.2 * 30 * 3 = 1.8 shields with half life as hp)
Ancient,4u,Archive,0,1,1.0,0.0,1.0,True,424.0,1.0,True,Parity Check: restore 24+8% shields every 8 seconds | assume 30 seconds and 3 Elders (4 * (24 + 0.08 * 1024))
Ancient,5u,Elite Warden,0,1,1.0,160.0,1.0,True,2640.0,1.0,True,Suspend freezes enemies for 3s and deals 100 damage every 5s (assume 8 hiy) | 100/5=20*8=160; assume 8ea wave 15 (55 DPS) frozen twice (55 * 3 * 8 * 2=2640 damage)
Ancient,6u,Elder,0,1,1.0,24.0,1.7,False,0.0,1.0,True,"Requiem: +32% AS, +24 damage, +16% damage"
Automaton,1,T-800 TERMINATOR MK II,0,1,1.0,0.0,1.0,True,0.0,1.0,True,
Automaton,2,W4LL-3 SALVAGER,0,1,1.0,0.0,1.0,True,0.0,1.1,True,Salvage: 10% armor for each dead nearby ally | assume 1 ally 
